INFO 2024-08-05 12:34:17,268 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-05 12:34:17,270 autoreload Waiting for apps ready_event.
DEBUG 2024-08-05 12:34:17,530 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-05 12:34:17,560 autoreload Watching dir C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\lib\site-packages\djoser\templates with glob **/*.
DEBUG 2024-08-05 12:34:17,561 autoreload Watching dir C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-08-05 12:34:17,562 autoreload Watching dir C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\file_storage\locale with glob **/*.mo.
DEBUG 2024-08-05 12:34:17,563 autoreload Watching dir C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-08-05 12:34:17,563 autoreload Watching dir C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2024-08-05 12:34:17,564 autoreload Watching dir C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\file_storage\storage\locale with glob **/*.mo.
DEBUG 2024-08-05 12:34:17,565 autoreload Watching dir C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\lib\site-packages\djoser\locale with glob **/*.mo.
DEBUG 2024-08-05 12:34:17,565 autoreload Watching dir C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-08-05 12:34:17,684 utils (0.016) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2024-08-05 12:34:17,689 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
